feature,xgb_importance,rf_importance
season_idx,0.22965774,0.03189504564011114
day_of_year,0.12849927,0.11773569047958705
slope,0.093534365,0.11533391106872688
elevation,0.059272908,0.08801004647742025
vapor_pressure_deficit,0.05581583,0.05795523713518276
ndvi,0.05539799,0.07882806316743954
precip_7d_sum,0.049452435,0.06391224180217636
relative_humidity,0.046749793,0.05660881098884386
temp_7d_mean,0.044037934,0.06183105304462026
evi,0.042893443,0.06531487710805181
low_precip_days_7d,0.038186148,0.007670067775868164
ndvi_lag7,0.035769176,0.06970380211708198
dewpoint_temperature_2m,0.029961593,0.04670209998159352
wind_speed,0.025090437,0.04023936858052569
temperature_2m,0.02296512,0.04436823215188028
total_precipitation,0.021597767,0.028628483064622675
ndvi_delta7,0.021118108,0.02526296941626785
